ID,Categoría,Elemento,Descripción,Decisión
"hero_photo","Portada & Navegación","Foto/vídeo principal de la pareja","Imagen hero a pantalla completa","Quizás"
"countdown","Portada & Navegación","Cuenta atrás","Días, horas, minutos hasta el 7 de abril","Sí"
"monogram","Portada & Navegación","Monograma / Logo de la boda","esto ya lo teneis chachis","Sí"
"add_calendar","Portada & Navegación","Botón 'Añadir al calendario'","Google Calendar, iCal, Outlook","Sí"
"music_bg","Portada & Navegación","Música de fondo","Canción significativa de la pareja","Quizás"
"proposal","Nuestra Historia","Historia de la propuesta","Cómo fue la pedida de mano","Sí"
"fun_facts","Nuestra Historia","Fun facts / Curiosidades","Datos random y divertidos sobre los dos","Sí"
"rpg_cards","Nuestra Historia","Fichas de personaje RPG","Stats tipo videojuego: Creatividad 10/10, Magia 9/10...","Quizás"
"ceremony","Detalles del Evento","Ceremonia","Hora, lugar, dirección de la Ermita","Sí"
"cocktail","Detalles del Evento","Cóctel / Hora del vermú","Ubicación y hora","Sí"
"dinner","Detalles del Evento","Banquete","Tipo de cena, hora, lugar","Sí"
"party","Detalles del Evento","Fiesta / After party","Info de la fiesta posterior","Sí"
"day_timeline","Detalles del Evento","Cronograma visual del día","Programa con horarios y flujo","Sí"
"rsvp_form","RSVP / Confirmación","Formulario de confirmación","Asiste / No asiste con nombre","Sí"
"rsvp_menu","RSVP / Confirmación","Selección de menú","Carne, pescado, vegetariano, vegano","Sí"
"rsvp_allergies","RSVP / Confirmación","Alergias / Restricciones","Campo libre o checkboxes","Sí"
"rsvp_song","RSVP / Confirmación","Petición de canción","¿Qué canción te saca a bailar?","Sí"
"rsvp_custom","RSVP / Confirmación","Preguntas personalizadas","Hasta 5 preguntas extra","Quizás"
"rsvp_reminders","RSVP / Confirmación","Recordatorios automáticos","Email/SMS a quien no ha respondido","Sí"
"guest_dashboard","RSVP / Confirmación","Panel de gestión de invitados","Dashboard con estadísticas y exportación","Sí"
"rsvp_confirmation_msg","RSVP / Confirmación","Mensaje de 'respuesta enviada'","Pantalla de confirmación tras el envío","Sí"
"rsvp_email_verify","RSVP / Confirmación","Verificación por email","Mail al invitado confirmando su RSVP","Sí"
"rsvp_contact","RSVP / Confirmación","Contacto directo desde RSVP","Enlace para escribirnos dudas al confirmar","Sí"
"venue_map","Viaje, Transporte y Alojamiento","Mapa interactivo del venue","Google Maps embebido con 'Cómo llegar'","Sí"
"parking","Viaje, Transporte y Alojamiento","Info de parking","Garajes cercanos, coste, restricciones","Quizás"
"hotels","Viaje, Transporte y Alojamiento","Hoteles recomendados","Con precios, distancia al venue y link de reserva","Sí"
"airbnb","Viaje, Transporte y Alojamiento","Alternativas de alojamiento","Airbnb, hostales, distintos precios","Sí"
"airport","Viaje, Transporte y Alojamiento","Info de aeropuerto/transporte público","Barajas, metro, cercanías","Sí"
"madrid_guide","Viaje, Transporte y Alojamiento","Guía 'Qué hacer en Madrid'","Restaurantes, bares y planes favoritos","Sí"
"color_guide","Dress Code & FAQ","Guía de paleta de colores","'Bienvenido el lavanda, evitad el blanco'","Quizás"
"shoe_advice","Dress Code & FAQ","Consejo de calzado","Tipo de terreno del venue","Quizás"
"faq","Dress Code & FAQ","Preguntas frecuentes (FAQ)","Acordeón con respuestas a todo","Sí"
"contact","Dress Code & FAQ","Contacto de emergencia","Email, teléfono, persona de referencia","Sí"
"photo_gallery","Galería y Multimedia","Galería de fotos de la pareja","Preboda, engagement, timeline","Quizás"
"venue_photos","Galería y Multimedia","Fotos del venue","Ermita de la Virgen del Puerto","Quizás"
"shared_album","Galería y Multimedia","Álbum compartido de invitados","Subir fotos antes, durante y después","Sí"
"live_wall","Galería y Multimedia","Muro de fotos en vivo","QR + proyección en tiempo real en la boda","Quizás"
"post_wedding_gallery","Galería y Multimedia","Galería post-boda","Fotos profesionales + vídeo resumen","Sí"
"wedding_party","Wedding Party / Cortejo","Cortejo nupcial","Fotos, bios y rol de cada persona","Sí"
"parents","Wedding Party / Cortejo","Padres y padrinos","Con fotos y dedicatorias","Sí"
"toto_role","Wedding Party / Cortejo","Toto: Dog of Honor","Bio, foto y rol oficial de Toto","Sí"
"magic_narrative","Personalización Temática (Magia, Pintura, Lego...)","Historia narrada como show de magia","Tres actos: Preparación, Truco, Revelación","Quizás"
"watercolor_bg","Personalización Temática (Magia, Pintura, Lego...)","Fondos de acuarela lavanda","Estética pintada por Dani como base visual","Sí"
"dani_illustrations","Personalización Temática (Magia, Pintura, Lego...)","Ilustraciones originales de Dani","Venue, flores, Toto, retratos en acuarela","Sí"
"lego_minis","Personalización Temática (Magia, Pintura, Lego...)","Minifiguras Lego de la pareja y Toto","Ilustraciones pixel-art o renders 3D","Sí"
"board_game_program","Personalización Temática (Magia, Pintura, Lego...)","Programa del día como tablero de juego","Casillas, dados, fichas y hitos","Quizás"
"escape_easter_eggs","Personalización Temática (Magia, Pintura, Lego...)","Easter eggs tipo escape room","Objetos ocultos que desbloquean contenido secreto","Sí"
"page_404","Personalización Temática (Magia, Pintura, Lego...)","Página 404 personalizada","'Esta página desapareció como un truco de Ángel 🎩'","Sí"
"magic_animations","Personalización Temática (Magia, Pintura, Lego...)","Animaciones mágicas","Humo, chispas, cartas y apariciones","Sí"
"creative_names","Personalización Temática (Magia, Pintura, Lego...)","Nombres creativos para secciones","'La Gran Ilusión', 'Las Piezas que Faltan'...","Sí"
"quiz","Interactivos y Juegos","Quiz '¿Cuánto conoces a Dani y Ángel?'","Trivia con puntuación","Sí"
"who_said","Interactivos y Juegos","'¿Quién dijo qué?'","Invitados adivinan quién dijo cada frase","Sí"
"predictions","Interactivos y Juegos","Predicciones","¿Quién llorará primero? ¿Habrá tartazo?","Sí"
"bingo","Interactivos y Juegos","Bingo de boda digital","Casillas: 'primeras lágrimas', 'chiste del padrino'...","Sí"
"scavenger","Interactivos y Juegos","Búsqueda del tesoro QR","Pistas por el venue con fun facts","Sí"
"language_mini_section","Interactivos y Juegos","Mini-sección 'Aprende a hablar como nosotros'","Frases venezolanas y españolas divertidas","Sí"
"spotify_collab","Música y Guestbook","Playlist colaborativa Spotify","Invitados añaden canciones","Sí"
"our_soundtrack","Música y Guestbook","'Nuestra banda sonora'","Canciones significativas de la relación","Sí"
"digital_guestbook","Música y Guestbook","Libro de firmas digital","Mensajes escritos + fotos + vídeos","Quizás"
